This file was created using the 201705 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
19910724    ,0.92   ,-0.21   ,-0.17    ,0.02
19910725   ,-1.01    ,0.11    ,0.10    ,0.02
19910726    ,1.12   ,-0.35    ,0.00    ,0.02
19910729   ,-0.58    ,0.09    ,0.06    ,0.02
19910730    ,0.64   ,-0.48   ,-0.15    ,0.02
19910731    ,0.59   ,-0.08   ,-0.27    ,0.02
19910801   ,-0.40   ,-0.03   ,-0.06    ,0.02
19910802    ,0.75    ,0.06    ,0.02    ,0.02
19910805   ,-0.07    ,0.51    ,0.01    ,0.02
19910806   ,-0.30    ,0.33   ,-0.06    ,0.02
19910807    ,0.44   ,-0.44   ,-0.14    ,0.02
19910808   ,-0.69    ,0.13   ,-0.04    ,0.02
19910809   ,-0.87    ,0.21    ,0.03    ,0.02
19910812   ,-0.72    ,0.21    ,0.10    ,0.02
19910813   ,-0.29   ,-0.28    ,0.05    ,0.02
19910814    ,0.69   ,-0.85   ,-0.09    ,0.02
19910815   ,-0.47    ,0.33    ,0.04    ,0.02
19910816   ,-1.23    ,0.24   ,-0.26    ,0.02
19910819   ,-6.31    ,1.54   ,-0.57    ,0.02
19910820    ,1.83   ,-1.48    ,0.22    ,0.02
19910821    ,3.23   ,-0.74    ,0.02    ,0.02
19910822    ,2.04    ,0.12    ,0.37    ,0.02
19910823   ,-1.38    ,0.62    ,0.26    ,0.02
19910826   ,-0.60    ,0.47    ,0.28    ,0.02
19910827   ,-0.21   ,-0.04   ,-0.01    ,0.02
19910828   ,-0.01    ,0.05   ,-0.05    ,0.02
19910829    ,0.62   ,-0.51   ,-0.22    ,0.02
19910830    ,0.83   ,-0.61    ,0.01    ,0.02
19910902    ,0.73   ,-0.39    ,0.09    ,0.02
19910903    ,0.32    ,0.38   ,-0.03    ,0.02
19910904    ,0.00    ,0.14    ,0.10    ,0.02
19910905    ,0.05    ,0.06    ,0.05    ,0.02
19910906    ,0.60    ,0.32   ,-0.02    ,0.02
19910909    ,0.74    ,0.39   ,-0.06    ,0.02
19910910   ,-0.51    ,0.25    ,0.14    ,0.02
19910911   ,-0.13   ,-0.09    ,0.01    ,0.02
19910912    ,0.61   ,-0.19   ,-0.21    ,0.02
19910913    ,0.99   ,-0.68   ,-0.09    ,0.02
19910916    ,0.23    ,0.09    ,0.03    ,0.02
19910917    ,0.58   ,-0.13   ,-0.08    ,0.02
19910918   ,-0.71    ,0.33    ,0.22    ,0.02
19910919   ,-0.48    ,0.07   ,-0.08    ,0.02
19910920    ,0.03    ,0.02    ,0.16    ,0.02
19910923    ,0.65   ,-0.09   ,-0.09    ,0.02
19910924    ,0.08   ,-0.51    ,0.14    ,0.02
19910925    ,0.45   ,-0.41   ,-0.29    ,0.02
19910926    ,0.26   ,-0.19   ,-0.01    ,0.02
19910927    ,0.25    ,0.38   ,-0.10    ,0.02
19910930    ,0.66   ,-0.08   ,-0.26    ,0.02
19911001    ,0.58   ,-0.32   ,-0.32    ,0.02
19911002    ,0.52   ,-0.14   ,-0.19    ,0.02
19911003    ,1.21   ,-0.69   ,-0.68    ,0.02
19911004   ,-0.13   ,-0.33   ,-0.17    ,0.02
19911007   ,-0.33    ,0.21   ,-0.29    ,0.02
19911008   ,-1.27    ,0.19    ,0.21    ,0.02
19911009   ,-0.07   ,-0.10   ,-0.19    ,0.02
19911010   ,-0.35   ,-0.01   ,-0.08    ,0.02
19911011    ,0.07    ,0.08   ,-0.03    ,0.02
19911014   ,-0.41    ,0.04    ,0.14    ,0.02
19911015   ,-0.17   ,-0.47   ,-0.02    ,0.02
19911016    ,0.29   ,-0.02    ,0.04    ,0.02
19911017    ,0.53   ,-0.06   ,-0.24    ,0.02
19911018    ,0.99   ,-0.44   ,-0.14    ,0.02
19911021   ,-0.45    ,0.41   ,-0.14    ,0.02
19911022   ,-0.51    ,0.29   ,-0.09    ,0.02
19911023   ,-0.57    ,0.21   ,-0.06    ,0.02
19911024    ,0.40    ,0.09    ,0.03    ,0.02
19911025   ,-0.44    ,0.28    ,0.01    ,0.02
19911028   ,-0.50   ,-0.09   ,-0.06    ,0.02
19911029    ,1.46   ,-0.11   ,-0.04    ,0.02
19911030    ,0.14    ,0.38   ,-0.03    ,0.02
19911031    ,0.47   ,-0.16    ,0.16    ,0.02
