This file was created using the 201705 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
20050221   ,-0.06    ,0.26   ,-0.26    ,0.01
20050222    ,0.73    ,0.19   ,-0.24    ,0.01
20050223   ,-1.07    ,0.13    ,0.19    ,0.01
20050224    ,0.05    ,0.28    ,0.33    ,0.01
20050225    ,1.15   ,-0.38   ,-0.07    ,0.01
20050228    ,0.26    ,0.47    ,0.26    ,0.01
20050301    ,0.26   ,-0.19    ,0.15    ,0.01
20050302   ,-0.20    ,0.06    ,0.02    ,0.01
20050303   ,-0.17    ,0.15    ,0.00    ,0.01
20050304    ,1.33   ,-0.26    ,0.04    ,0.01
20050307    ,0.00    ,0.12    ,0.15    ,0.01
20050308    ,0.45    ,0.17   ,-0.01    ,0.01
20050309    ,0.14    ,0.32    ,0.14    ,0.01
20050310   ,-0.56    ,0.29    ,0.06    ,0.01
20050311    ,0.39    ,0.21    ,0.06    ,0.01
20050314   ,-0.81    ,0.24    ,0.11    ,0.01
20050315    ,0.13   ,-0.33    ,0.06    ,0.01
20050316    ,0.17    ,0.43   ,-0.12    ,0.01
20050317   ,-0.37    ,0.06   ,-0.04    ,0.01
20050318    ,0.03    ,0.16    ,0.10    ,0.01
20050321   ,-1.04    ,0.01    ,0.27    ,0.01
20050322   ,-0.56   ,-0.13    ,0.25    ,0.01
20050323   ,-1.14   ,-0.23    ,0.24    ,0.01
20050324   ,-0.06   ,-0.22    ,0.10    ,0.01
20050325    ,0.09   ,-0.24   ,-0.03    ,0.01
20050328   ,-0.38   ,-0.23    ,0.04    ,0.01
20050329   ,-0.22   ,-0.21   ,-0.18    ,0.01
20050330   ,-0.39   ,-0.52   ,-0.07    ,0.01
20050331    ,0.80    ,0.61    ,0.15    ,0.01
20050401    ,0.01    ,0.01    ,0.08    ,0.01
20050404   ,-0.81    ,0.14    ,0.10    ,0.01
20050405    ,0.69   ,-0.30   ,-0.27    ,0.01
20050406    ,0.33   ,-0.20    ,0.01    ,0.01
20050407    ,0.17    ,0.03    ,0.10    ,0.01
20050408    ,0.71    ,0.13   ,-0.20    ,0.01
20050411   ,-0.07    ,0.04    ,0.12    ,0.01
20050412   ,-0.60    ,0.25   ,-0.11    ,0.01
20050413    ,0.18   ,-0.15    ,0.15    ,0.01
20050414   ,-1.21   ,-0.18   ,-0.08    ,0.01
20050415   ,-0.81    ,0.23   ,-0.26    ,0.01
20050418   ,-1.46   ,-0.52   ,-0.17    ,0.01
20050419    ,1.32    ,0.55   ,-0.16    ,0.01
20050420   ,-0.05    ,0.46   ,-0.06    ,0.01
20050421   ,-0.23   ,-0.33   ,-0.10    ,0.01
20050422    ,0.86    ,0.20    ,0.21    ,0.01
20050425    ,0.00   ,-0.06    ,0.16    ,0.01
20050426   ,-0.41    ,0.08    ,0.12    ,0.01
20050427   ,-1.12    ,0.28    ,0.34    ,0.01
20050428   ,-0.36   ,-0.20    ,0.12    ,0.01
20050429    ,0.33   ,-0.15    ,0.12    ,0.01
20050502    ,0.17   ,-0.29    ,0.12    ,0.01
20050503    ,0.20   ,-0.32    ,0.01    ,0.01
20050504    ,0.85   ,-0.43   ,-0.01    ,0.01
20050505    ,0.37   ,-0.15    ,0.01    ,0.01
20050506   ,-0.10   ,-0.05    ,0.13    ,0.01
20050509   ,-0.01    ,0.26   ,-0.02    ,0.01
20050510   ,-0.35    ,0.36    ,0.10    ,0.01
20050511   ,-0.71    ,0.07    ,0.15    ,0.01
20050512   ,-0.66   ,-0.28   ,-0.04    ,0.01
20050513   ,-0.63   ,-0.23    ,0.03    ,0.01
20050516   ,-0.37   ,-0.35    ,0.15    ,0.01
20050517   ,-0.49   ,-0.49   ,-0.13    ,0.01
20050518    ,1.13   ,-0.51   ,-0.03    ,0.01
20050519    ,0.51   ,-0.16   ,-0.04    ,0.01
20050520   ,-0.47    ,0.09    ,0.13    ,0.01
20050523    ,0.71   ,-0.08    ,0.01    ,0.01
20050524    ,0.07    ,0.12   ,-0.29    ,0.01
20050525   ,-0.24   ,-0.10   ,-0.10    ,0.01
20050526   ,-0.09   ,-0.24    ,0.13    ,0.01
20050527    ,0.64    ,0.07    ,0.00    ,0.01
20050530    ,0.00    ,0.05    ,0.21    ,0.01
20050531   ,-0.96    ,0.77    ,0.23    ,0.01
20050601    ,0.39   ,-0.45   ,-0.05    ,0.01
20050602    ,0.44    ,0.06   ,-0.05    ,0.01
20050603   ,-0.06    ,0.50   ,-0.15    ,0.01
20050606    ,0.23    ,0.38    ,0.05    ,0.01
20050607    ,0.71   ,-0.36    ,0.07    ,0.01
20050608   ,-0.38    ,0.17    ,0.06    ,0.01
20050609   ,-0.22    ,0.02    ,0.15    ,0.01
20050610   ,-0.27    ,0.02    ,0.18    ,0.01
20050613   ,-0.03    ,0.03   ,-0.11    ,0.01
20050614   ,-0.23    ,0.06    ,0.01    ,0.01
20050615    ,0.70    ,0.35    ,0.01    ,0.01
20050616    ,0.40    ,0.04   ,-0.06    ,0.01
20050617    ,1.40   ,-0.21    ,0.07    ,0.01
20050620   ,-0.86    ,0.27    ,0.01    ,0.01
20050621    ,0.42    ,0.03    ,0.11    ,0.01
20050622   ,-0.06   ,-0.14    ,0.06    ,0.01
20050623   ,-0.31    ,0.07    ,0.13    ,0.01
20050624   ,-0.16    ,0.23    ,0.20    ,0.01
20050627   ,-0.42    ,0.29    ,0.05    ,0.01
20050628   ,-0.02   ,-0.16    ,0.09    ,0.01
20050629    ,0.31   ,-0.29   ,-0.16    ,0.01
20050630   ,-0.10    ,0.06    ,0.06    ,0.01
20050701   ,-0.65   ,-0.17    ,0.06    ,0.01
20050704    ,0.00    ,0.18    ,0.02    ,0.01
20050705   ,-0.05   ,-0.06   ,-0.01    ,0.01
20050706    ,0.30   ,-0.16   ,-0.01    ,0.01
20050707   ,-0.88    ,0.42   ,-0.05    ,0.01
20050708    ,0.83   ,-0.38    ,0.07    ,0.01
20050711    ,1.33   ,-0.22   ,-0.11    ,0.01
20050712    ,1.05    ,0.08   ,-0.09    ,0.01
20050713   ,-0.56    ,0.06    ,0.04    ,0.01
20050714    ,0.03   ,-0.24    ,0.15    ,0.01
20050715   ,-0.24    ,0.16    ,0.06    ,0.01
20050718    ,0.09    ,0.09    ,0.12    ,0.01
20050719   ,-0.03   ,-0.34    ,0.36    ,0.01
20050720    ,0.59   ,-0.07    ,0.16    ,0.01
20050721    ,0.92    ,0.33    ,0.13    ,0.01
20050722   ,-0.75    ,0.08    ,0.16    ,0.01
20050725    ,0.25    ,0.18   ,-0.19    ,0.01
20050726   ,-0.58    ,0.00    ,0.11    ,0.01
20050727    ,0.77   ,-0.13    ,0.05    ,0.01
20050728    ,0.79   ,-0.16    ,0.01    ,0.01
20050729   ,-0.06    ,0.21   ,-0.17    ,0.01
20050801    ,0.61   ,-0.02    ,0.01    ,0.01
20050802    ,0.77   ,-0.41    ,0.05    ,0.01
20050803    ,0.76   ,-0.38   ,-0.01    ,0.01
20050804   ,-0.29    ,0.14   ,-0.06    ,0.01
20050805   ,-0.81   ,-0.03    ,0.06    ,0.01
20050808    ,0.34   ,-0.29   ,-0.07    ,0.01
20050809    ,0.71    ,0.01   ,-0.10    ,0.01
20050810    ,1.32   ,-0.15    ,0.14    ,0.01
20050811    ,0.84    ,0.03   ,-0.03    ,0.01
20050812   ,-0.18    ,0.19   ,-0.07    ,0.01
20050815   ,-0.30    ,0.17    ,0.09    ,0.01
20050816   ,-0.31    ,0.35    ,0.09    ,0.01
20050817   ,-0.74    ,0.03    ,0.11    ,0.01
20050818   ,-0.95    ,0.23   ,-0.21    ,0.01
20050819    ,0.51   ,-0.41    ,0.00    ,0.01
20050822    ,1.01    ,0.03    ,0.00    ,0.01
20050823   ,-0.31    ,0.34    ,0.00    ,0.01
20050824   ,-0.03   ,-0.01    ,0.04    ,0.01
20050825   ,-0.33    ,0.36   ,-0.01    ,0.01
20050826   ,-0.38    ,0.44   ,-0.08    ,0.01
20050829   ,-0.60   ,-0.08   ,-0.09    ,0.01
20050830    ,0.25   ,-0.05   ,-0.13    ,0.01
20050831    ,1.26   ,-0.30   ,-0.12    ,0.01
20050901    ,1.78   ,-0.19   ,-0.27    ,0.01
20050902    ,0.20    ,0.10   ,-0.17    ,0.01
20050905    ,0.52   ,-0.13    ,0.02    ,0.01
20050906   ,-0.13   ,-0.50    ,0.15    ,0.01
20050907   ,-0.03   ,-0.12   ,-0.11    ,0.01
20050908   ,-0.35    ,0.18   ,-0.06    ,0.01
20050909    ,0.85   ,-0.08    ,0.04    ,0.01
20050912   ,-0.48    ,0.11    ,0.00    ,0.01
20050913   ,-0.42    ,0.36   ,-0.10    ,0.01
20050914    ,0.41   ,-0.03   ,-0.07    ,0.01
20050915   ,-0.10    ,0.22   ,-0.04    ,0.01
20050916    ,0.36   ,-0.19    ,0.03    ,0.01
20050919   ,-0.32    ,0.28   ,-0.25    ,0.01
20050920    ,0.26   ,-0.16    ,0.24    ,0.01
20050921    ,0.19    ,0.29    ,0.06    ,0.01
20050922   ,-0.80    ,0.02    ,0.26    ,0.01
20050923   ,-0.47   ,-0.28   ,-0.01    ,0.01
20050926    ,1.47   ,-0.72    ,0.30    ,0.01
20050927   ,-0.77   ,-0.09    ,0.39    ,0.01
20050928    ,1.14   ,-0.36    ,0.14    ,0.01
20050929    ,0.30   ,-0.15    ,0.31    ,0.01
20050930   ,-0.12    ,0.18   ,-0.39    ,0.01
20051003   ,-0.25    ,0.01   ,-0.29    ,0.01
20051004    ,0.20   ,-0.18    ,0.24    ,0.01
20051005   ,-0.79    ,0.35   ,-0.02    ,0.01
20051006   ,-0.57    ,0.00    ,0.01    ,0.01
20051007   ,-0.51    ,0.36    ,0.08    ,0.01
20051010   ,-0.16    ,0.03   ,-0.15    ,0.01
20051011    ,0.20   ,-0.12    ,0.21    ,0.01
20051012   ,-0.31    ,0.47    ,0.09    ,0.01
20051013   ,-0.98    ,0.13    ,0.04    ,0.01
20051014    ,0.28   ,-0.25    ,0.16    ,0.01
20051017   ,-0.45    ,0.16   ,-0.09    ,0.01
20051018   ,-0.78   ,-0.03   ,-0.11    ,0.01
20051019   ,-1.07    ,0.16    ,0.13    ,0.01
20051020    ,0.20    ,0.07    ,0.05    ,0.01
20051021   ,-0.66   ,-0.01    ,0.07    ,0.01
20051024    ,0.84   ,-0.26   ,-0.01    ,0.01
20051025    ,0.99    ,0.18   ,-0.09    ,0.01
20051026    ,0.02    ,0.07    ,0.03    ,0.01
20051027   ,-0.14    ,0.36    ,0.15    ,0.01
20051028   ,-0.53    ,0.17   ,-0.04    ,0.01
20051031    ,1.17   ,-0.76    ,0.23    ,0.01
20051101    ,0.77   ,-0.23    ,0.09    ,0.01
20051102    ,0.48   ,-0.22   ,-0.11    ,0.01
20051103    ,0.23   ,-0.35   ,-0.10    ,0.01
20051104   ,-0.76    ,0.39   ,-0.14    ,0.01
20051107    ,0.27    ,0.00   ,-0.15    ,0.01
20051108    ,0.03    ,0.01   ,-0.08    ,0.01
20051109   ,-0.33    ,0.07    ,0.06    ,0.01
20051110   ,-0.61   ,-0.14    ,0.09    ,0.01
20051111    ,1.01   ,-0.39   ,-0.13    ,0.01
20051114   ,-0.63   ,-0.03   ,-0.19    ,0.01
20051115   ,-0.29   ,-0.07   ,-0.28    ,0.01
20051116   ,-0.33    ,0.16    ,0.11    ,0.01
20051117    ,1.09   ,-0.18   ,-0.03    ,0.01
20051118    ,0.79   ,-0.38    ,0.08    ,0.01
20051121    ,0.03   ,-0.03   ,-0.12    ,0.01
20051122    ,0.62    ,0.09   ,-0.02    ,0.01
20051123    ,0.39   ,-0.24    ,0.14    ,0.01
20051124   ,-0.29    ,0.10    ,0.03    ,0.01
20051125   ,-0.15    ,0.02   ,-0.04    ,0.01
20051128    ,0.70    ,0.27    ,0.02    ,0.01
20051129   ,-0.47    ,0.26    ,0.11    ,0.01
20051130   ,-0.34    ,0.88   ,-0.09    ,0.01
20051201    ,0.87   ,-0.50    ,0.08    ,0.01
20051202    ,0.81   ,-0.10   ,-0.06    ,0.01
20051205    ,0.47    ,0.52   ,-0.02    ,0.01
20051206    ,0.16   ,-0.30   ,-0.05    ,0.01
20051207   ,-0.26    ,0.14    ,0.03    ,0.01
20051208    ,0.12   ,-0.09   ,-0.24    ,0.01
20051209    ,0.35    ,0.26   ,-0.18    ,0.01
20051212    ,1.41    ,0.17    ,0.10    ,0.01
20051213    ,0.00    ,0.05   ,-0.13    ,0.01
20051214    ,0.34    ,0.37    ,0.00    ,0.01
20051215   ,-0.33    ,0.60   ,-0.15    ,0.01
20051216    ,0.60   ,-0.20   ,-0.09    ,0.01
20051219   ,-0.09   ,-0.04   ,-0.33    ,0.01
20051220   ,-0.37    ,0.05    ,0.14    ,0.01
20051221    ,0.60   ,-0.15    ,0.09    ,0.01
20051222    ,0.28    ,0.19   ,-0.14    ,0.01
20051223    ,0.10    ,0.12    ,0.07    ,0.01
20051226    ,0.05    ,0.30   ,-0.25    ,0.01
20051227   ,-0.45   ,-0.04   ,-0.06    ,0.01
20051228    ,0.28    ,0.23   ,-0.20    ,0.01
20051229    ,0.54    ,0.17   ,-0.34    ,0.01
20051230   ,-0.42    ,0.57   ,-0.15    ,0.01
20060102    ,0.07   ,-0.13    ,0.07    ,0.02
20060103    ,1.88   ,-0.14    ,0.01    ,0.02
20060104    ,1.57   ,-0.24    ,0.11    ,0.02
20060105   ,-0.02    ,0.35    ,0.09    ,0.02
20060106    ,1.01    ,0.27    ,0.04    ,0.02
20060109   ,-0.18    ,0.19   ,-0.19    ,0.02
20060110   ,-0.77    ,0.58    ,0.17    ,0.02
20060111    ,1.03   ,-0.36   ,-0.21    ,0.02
20060112   ,-0.22    ,0.51    ,0.02    ,0.02
20060113    ,0.33    ,0.67   ,-0.47    ,0.02
20060116   ,-0.17    ,0.43   ,-0.30    ,0.02
20060117   ,-1.24   ,-0.69    ,0.81    ,0.02
20060118   ,-1.67   ,-1.42    ,0.58    ,0.02
20060119    ,1.20    ,1.12   ,-0.40    ,0.02
20060120    ,0.06    ,0.14    ,0.17    ,0.02
20060123    ,0.16   ,-1.15    ,0.66    ,0.02
20060124    ,0.21    ,0.87   ,-0.44    ,0.02
20060125    ,0.30    ,0.10   ,-0.23    ,0.02
20060126    ,0.57   ,-0.29    ,0.26    ,0.02
20060127    ,0.77   ,-0.24    ,0.13    ,0.02
20060130    ,0.19    ,0.11    ,0.32    ,0.02
20060131    ,0.55   ,-0.03    ,0.02    ,0.02
20060201   ,-0.34   ,-0.21    ,0.24    ,0.02
20060202   ,-0.14    ,0.59    ,0.15    ,0.02
20060203   ,-0.54    ,0.28   ,-0.22    ,0.02
20060206   ,-0.03    ,0.50    ,0.21    ,0.02
20060207    ,0.00    ,0.51    ,0.09    ,0.02
20060208   ,-1.06   ,-0.26    ,0.27    ,0.02
20060209    ,0.83   ,-0.42    ,0.07    ,0.02
20060210   ,-0.82    ,0.06    ,0.36    ,0.02
20060213   ,-0.67   ,-1.48    ,0.85    ,0.02
20060214    ,0.50   ,-0.11   ,-0.35    ,0.02
20060215   ,-0.45    ,0.09    ,0.03    ,0.02
20060216    ,0.56   ,-0.75    ,0.31    ,0.02
20060217   ,-0.10   ,-0.72    ,0.61    ,0.02
20060220   ,-0.24   ,-1.18    ,0.26    ,0.02
20060221    ,0.56    ,0.62   ,-0.74    ,0.02
20060222    ,0.32    ,0.14    ,0.02    ,0.02
20060223    ,0.81    ,0.84   ,-0.14    ,0.02
20060224    ,0.20    ,0.53   ,-0.09    ,0.02
20060227    ,0.35   ,-0.23    ,0.15    ,0.02
20060228   ,-0.20    ,0.40    ,0.13    ,0.02
20060301    ,0.07   ,-0.65    ,0.16    ,0.02
20060302    ,0.23    ,0.03   ,-0.14    ,0.02
20060303   ,-0.28   ,-0.22    ,0.05    ,0.02
20060306   ,-0.11   ,-0.07   ,-0.34    ,0.02
20060307   ,-1.33   ,-0.10    ,0.02    ,0.02
20060308   ,-0.55   ,-0.07   ,-0.22    ,0.02
20060309    ,0.69    ,0.09    ,0.00    ,0.02
20060310    ,0.47   ,-0.30    ,0.07    ,0.02
20060313    ,1.29    ,0.11   ,-0.09    ,0.02
20060314    ,0.67   ,-0.03    ,0.19    ,0.02
20060315    ,0.57    ,0.02    ,0.20    ,0.02
20060316    ,0.43   ,-0.24    ,0.32    ,0.02
20060317    ,0.54    ,0.23    ,0.25    ,0.02
20060320    ,0.17    ,0.07    ,0.14    ,0.02
20060321   ,-0.49   ,-0.10    ,0.29    ,0.02
20060322    ,0.13    ,0.27    ,0.05    ,0.02
20060323   ,-0.73    ,0.39    ,0.02    ,0.02
20060324    ,0.75   ,-0.16   ,-0.12    ,0.02
20060327   ,-0.27    ,0.76    ,0.10    ,0.02
20060328   ,-0.41    ,0.24   ,-0.11    ,0.02
20060329    ,0.52    ,0.09   ,-0.09    ,0.02
20060330    ,1.58   ,-0.26   ,-0.28    ,0.02
20060331   ,-0.65    ,0.55   ,-0.28    ,0.02
20060403    ,0.99   ,-0.14   ,-0.08    ,0.02
20060404    ,0.36    ,0.39    ,0.00    ,0.02
20060405    ,0.56   ,-0.44   ,-0.02    ,0.02
20060406    ,0.24    ,0.24   ,-0.14    ,0.02
20060407   ,-0.87    ,0.53   ,-0.09    ,0.02
20060410    ,0.18   ,-0.04    ,0.04    ,0.02
20060411   ,-0.57    ,0.47   ,-0.19    ,0.02
20060412   ,-0.79    ,0.10   ,-0.06    ,0.02
20060413    ,0.25   ,-0.12    ,0.08    ,0.02
20060414   ,-0.10   ,-0.01   ,-0.02    ,0.02
20060417    ,0.66   ,-0.44    ,0.28    ,0.02
20060418    ,1.13    ,0.11   ,-0.11    ,0.02
20060419    ,0.94   ,-0.46   ,-0.06    ,0.02
20060420   ,-0.32   ,-0.40    ,0.43    ,0.02
20060421    ,0.87   ,-0.37    ,0.36    ,0.02
20060424   ,-0.25    ,0.22   ,-0.29    ,0.02
20060425    ,0.26    ,0.24   ,-0.20    ,0.02
20060426    ,0.38    ,0.04    ,0.14    ,0.02
20060427    ,0.36   ,-0.05    ,0.12    ,0.02
20060428    ,0.22    ,0.32   ,-0.14    ,0.02
20060501   ,-0.08    ,0.06    ,0.05    ,0.02
20060502    ,1.05   ,-0.28    ,0.02    ,0.02
20060503   ,-0.34    ,0.44    ,0.05    ,0.02
20060504    ,0.52   ,-0.19    ,0.07    ,0.02
20060505    ,1.07   ,-0.24    ,0.03    ,0.02
20060508    ,0.48    ,0.18    ,0.08    ,0.02
20060509    ,0.61   ,-0.14   ,-0.05    ,0.02
20060510   ,-0.17    ,0.25    ,0.05    ,0.02
20060511   ,-0.37    ,0.04   ,-0.16    ,0.02
20060512   ,-1.12    ,0.47   ,-0.07    ,0.02
20060515   ,-2.14   ,-0.51    ,0.31    ,0.02
20060516   ,-0.05   ,-0.79    ,0.09    ,0.02
20060517   ,-2.35    ,0.99   ,-0.06    ,0.02
20060518   ,-0.41   ,-0.68   ,-0.27    ,0.02
20060519   ,-0.49    ,0.21    ,0.05    ,0.02
20060522   ,-1.87   ,-0.51   ,-0.01    ,0.02
20060523    ,0.57   ,-0.67    ,0.17    ,0.02
20060524   ,-0.94    ,0.18   ,-0.16    ,0.02
20060525    ,1.01   ,-0.12    ,0.14    ,0.02
20060526    ,1.27   ,-0.47    ,0.00    ,0.02
20060529    ,0.28    ,0.25    ,0.10    ,0.02
20060530   ,-0.70    ,0.35    ,0.05    ,0.02
20060531   ,-0.49   ,-0.40    ,0.15    ,0.02
20060601    ,0.18   ,-0.81    ,0.34    ,0.02
20060602    ,1.39   ,-0.19   ,-0.14    ,0.02
20060605   ,-0.77    ,0.44   ,-0.33    ,0.02
20060606   ,-2.45    ,0.02   ,-0.09    ,0.02
20060607   ,-0.60   ,-0.56   ,-0.03    ,0.02
20060608   ,-3.45   ,-0.11   ,-0.16    ,0.02
20060609    ,1.27   ,-0.09   ,-0.06    ,0.02
20060612   ,-0.71    ,0.53   ,-0.14    ,0.02
20060613   ,-3.09   ,-0.23    ,0.20    ,0.02
20060614    ,0.54   ,-0.04   ,-0.16    ,0.02
20060615    ,2.26    ,0.22   ,-0.04    ,0.02
20060616    ,0.47    ,0.50   ,-0.07    ,0.02
20060619   ,-0.25    ,0.07    ,0.19    ,0.02
20060620    ,0.05   ,-0.41    ,0.19    ,0.02
20060621    ,0.55   ,-0.40   ,-0.10    ,0.02
20060622    ,0.20   ,-0.02    ,0.03    ,0.02
20060623   ,-0.38   ,-0.09   ,-0.06    ,0.02
20060626    ,0.44   ,-0.08    ,0.30    ,0.02
20060627   ,-0.39    ,0.49   ,-0.05    ,0.02
20060628   ,-0.52   ,-0.26    ,0.11    ,0.02
20060629    ,2.31   ,-0.89    ,0.04    ,0.02
20060630    ,2.42   ,-0.40   ,-0.13    ,0.02
20060703    ,0.47    ,0.07   ,-0.44    ,0.02
20060704    ,0.31    ,0.07   ,-0.02    ,0.02
20060705   ,-1.48    ,0.44    ,0.12    ,0.02
20060706    ,0.59   ,-0.37    ,0.11    ,0.02
20060707    ,0.35    ,0.00    ,0.44    ,0.02
20060710   ,-0.06   ,-0.57    ,0.32    ,0.02
20060711   ,-0.51    ,0.16    ,0.31    ,0.02
20060712   ,-0.75   ,-0.24    ,0.06    ,0.02
20060713   ,-1.15    ,0.39    ,0.27    ,0.02
20060714   ,-1.55    ,0.26    ,0.20    ,0.02
20060717   ,-1.46   ,-0.18    ,0.16    ,0.02
20060718   ,-1.09   ,-0.77    ,0.82    ,0.02
20060719    ,1.83   ,-1.31    ,0.11    ,0.02
20060720    ,1.16    ,0.41   ,-0.58    ,0.02
20060721   ,-0.37    ,0.15    ,0.19    ,0.02
20060724    ,0.64   ,-1.20    ,0.33    ,0.02
20060725    ,0.14   ,-0.16   ,-0.03    ,0.02
20060726    ,0.92   ,-0.35    ,0.23    ,0.02
20060727    ,0.98   ,-0.28    ,0.28    ,0.02
20060728    ,1.14   ,-0.18   ,-0.21    ,0.02
20060731    ,0.15    ,0.90   ,-0.45    ,0.02
20060801   ,-0.12    ,0.43   ,-0.30    ,0.02
20060802    ,0.53   ,-0.15   ,-0.14    ,0.02
20060803   ,-0.44    ,0.28    ,0.15    ,0.02
20060804    ,1.01   ,-0.36    ,0.01    ,0.02
20060807   ,-1.29    ,0.26    ,0.25    ,0.02
20060808    ,0.34   ,-0.29    ,0.19    ,0.02
20060809    ,0.72   ,-0.45   ,-0.07    ,0.02
20060810   ,-0.78    ,0.41   ,-0.14    ,0.02
20060811   ,-0.60    ,0.17   ,-0.01    ,0.02
20060814    ,0.62   ,-0.53    ,0.06    ,0.02
20060815    ,1.05   ,-0.30   ,-0.26    ,0.02
20060816    ,1.05   ,-0.07   ,-0.29    ,0.02
20060817    ,0.05    ,0.06   ,-0.05    ,0.02
20060818    ,0.04    ,0.27    ,0.02    ,0.02
20060821    ,0.09    ,0.25   ,-0.17    ,0.02
20060822   ,-0.09   ,-0.02   ,-0.15    ,0.02
20060823   ,-0.27    ,0.49   ,-0.18    ,0.02
20060824   ,-0.38   ,-0.07    ,0.12    ,0.02
20060825   ,-0.22    ,0.06    ,0.17    ,0.02
20060828    ,0.04   ,-0.54    ,0.21    ,0.02
20060829    ,0.73   ,-0.15   ,-0.09    ,0.02
20060830    ,0.26   ,-0.29    ,0.15    ,0.02
20060831    ,0.10    ,0.25    ,0.13    ,0.02
20060901    ,0.49   ,-0.09   ,-0.05    ,0.02
20060904    ,0.89    ,0.02   ,-0.32    ,0.02
20060905   ,-0.38    ,0.50   ,-0.27    ,0.02
20060906   ,-0.96    ,0.43    ,0.22    ,0.02
20060907   ,-1.42    ,0.47    ,0.01    ,0.02
20060908   ,-0.22   ,-0.05    ,0.09    ,0.02
20060911   ,-0.89   ,-0.18    ,0.59    ,0.02
20060912    ,0.28   ,-0.84    ,0.27    ,0.02
20060913    ,0.39   ,-0.34    ,0.11    ,0.02
20060914    ,0.30   ,-0.09    ,0.25    ,0.02
20060915   ,-0.19   ,-0.02    ,0.09    ,0.02
20060918    ,0.25   ,-0.16   ,-0.15    ,0.02
20060919   ,-0.55    ,0.43   ,-0.11    ,0.02
20060920    ,0.29   ,-0.55    ,0.31    ,0.02
20060921    ,1.05   ,-0.15    ,0.01    ,0.02
20060922   ,-0.89    ,0.38    ,0.01    ,0.02
20060925   ,-0.27   ,-0.08    ,0.37    ,0.02
20060926    ,0.27   ,-0.58   ,-0.04    ,0.02
20060927    ,1.11   ,-0.29   ,-0.21    ,0.02
20060928    ,0.28    ,0.12   ,-0.32    ,0.02
20060929   ,-0.17    ,0.13    ,0.00    ,0.02
20061002    ,0.55   ,-0.08    ,0.27    ,0.02
20061003   ,-0.60   ,-0.09    ,0.33    ,0.02
20061004    ,0.12   ,-0.61    ,0.40    ,0.02
20061005    ,0.87   ,-0.21   ,-0.05    ,0.02
20061006   ,-0.74   ,-0.23    ,0.13    ,0.02
20061009    ,0.03   ,-0.04   ,-0.17    ,0.02
20061010   ,-0.11   ,-0.48    ,0.32    ,0.02
20061011   ,-0.25   ,-0.53    ,0.34    ,0.02
20061012    ,0.70   ,-0.01   ,-0.19    ,0.02
20061013    ,0.22    ,0.36   ,-0.40    ,0.02
20061016    ,0.69    ,0.37   ,-0.65    ,0.02
20061017   ,-0.63    ,0.56   ,-0.27    ,0.02
20061018    ,0.47   ,-0.12   ,-0.20    ,0.02
20061019    ,0.74    ,0.27   ,-0.17    ,0.02
20061020    ,0.19   ,-0.20    ,0.06    ,0.02
20061023    ,0.02   ,-0.12   ,-0.20    ,0.02
20061024    ,0.08   ,-0.01    ,0.01    ,0.02
20061025    ,0.51   ,-0.08   ,-0.11    ,0.02
20061026    ,0.78    ,0.00    ,0.08    ,0.02
20061027    ,0.04    ,0.06    ,0.26    ,0.02
20061030   ,-0.76    ,0.08    ,0.03    ,0.02
20061031    ,0.46    ,0.46   ,-0.05    ,0.02
20061101    ,0.10   ,-0.31   ,-0.13    ,0.02
20061102   ,-0.18    ,0.01   ,-0.03    ,0.02
20061103   ,-0.20    ,0.02    ,0.05    ,0.02
20061106    ,0.68   ,-0.49    ,0.01    ,0.02
20061107    ,0.67   ,-0.23    ,0.00    ,0.02
20061108   ,-0.42   ,-0.11    ,0.21    ,0.02
20061109    ,0.22    ,0.03    ,0.06    ,0.02
20061110   ,-0.16    ,0.11    ,0.25    ,0.02
20061113   ,-0.40   ,-0.48    ,0.29    ,0.02
20061114    ,0.45    ,0.40   ,-0.26    ,0.02
20061115    ,0.34   ,-0.30    ,0.16    ,0.02
20061116   ,-0.29    ,0.00    ,0.06    ,0.02
20061117   ,-0.30    ,0.09    ,0.37    ,0.02
20061120   ,-0.60   ,-0.61    ,0.27    ,0.02
20061121    ,0.37   ,-0.08    ,0.05    ,0.02
20061122    ,1.13    ,0.46   ,-0.44    ,0.02
20061123    ,0.04    ,0.21    ,0.02    ,0.02
20061124    ,0.17    ,0.40   ,-0.12    ,0.02
20061127   ,-0.55    ,0.71   ,-0.02    ,0.02
20061128   ,-0.03    ,0.02   ,-0.11    ,0.02
20061129    ,1.01   ,-0.23   ,-0.09    ,0.02
20061130    ,0.64    ,0.49   ,-0.10    ,0.02
20061201    ,0.12    ,0.39   ,-0.06    ,0.02
20061204    ,0.55   ,-0.24    ,0.03    ,0.02
20061205    ,0.26   ,-0.29    ,0.04    ,0.02
20061206    ,0.04    ,0.13    ,0.10    ,0.02
20061207    ,0.42   ,-0.24   ,-0.09    ,0.02
20061208   ,-0.67    ,0.13    ,0.03    ,0.02
20061211    ,0.60   ,-0.14    ,0.14    ,0.02
20061212    ,0.40   ,-0.27    ,0.04    ,0.02
20061213   ,-0.03   ,-0.18   ,-0.04    ,0.02
20061214    ,0.31   ,-0.21   ,-0.13    ,0.02
